title,description,category,cloud_provider,severity,is_misconfiguration,public_exposure,privilege_escalation,data_exposure,dos,unencrypted,iam,s3_bucket,ssrf_rce
,Publicly accessible S3 bucket exposing sensitive data.,Misconfiguration,AWS,55,1,1,0,1,0,0,0,1,0
,Azure Blob Storage with anonymous read access.,Access Control,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Function with unauthenticated HTTP trigger.,IAM Misconfiguration,GCP,30,1,1,0,0,0,0,1,0,0
,Unencrypted AWS Lambda environment variables leaking API keys.,Data Exposure,AWS,50,0,0,0,1,0,1,0,0,0
,Azure Kubernetes Service (AKS) with default admin credentials.,Authentication,Azure,25,1,0,0,1,0,0,0,0,0
,GCP Compute Engine instance with overly permissive firewall rules.,Network Security,GCP,0,0,0,0,0,0,0,0,0,0
,AWS EC2 instance with exposed SSH port and weak key.,Access Control,AWS,30,0,1,0,0,0,0,0,0,0
,Oracle Cloud Object Storage bucket with public write access.,Misconfiguration,Oracle Cloud,30,1,1,0,0,0,0,0,1,0
,IBM Cloud Kubernetes Service with insecure API server access.,API Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba OSS bucket with misconfigured CORS allowing unauthorized access.,Access Control,Alibaba Cloud,0,1,0,0,0,0,0,0,1,0
,AWS RDS instance with public access enabled.,Network Security,AWS,30,0,1,0,0,0,0,0,0,0
,Azure Cosmos DB with weak firewall rules.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Pub/Sub with overly permissive IAM bindings.,IAM Misconfiguration,GCP,0,1,0,0,0,0,0,1,0,0
,AWS IAM user with full administrative privileges.,IAM Misconfiguration,AWS,25,1,0,1,0,0,0,1,0,0
,Azure Function with anonymous HTTP trigger.,Access Control,Azure,0,0,0,0,0,0,0,0,0,0
,GCP BigQuery dataset with public access.,Access Control,GCP,30,0,1,0,0,0,0,0,0,0
,Oracle Cloud Compute instance with default credentials.,Authentication,Oracle Cloud,25,1,0,0,1,0,0,0,0,0
,IBM Cloud Object Storage with public read ACL.,Misconfiguration,IBM Cloud,30,1,1,0,0,0,0,0,1,0
,Alibaba ECS instance with exposed RDP port.,Network Security,Alibaba Cloud,30,0,1,0,0,0,0,0,0,0
,AWS API Gateway with no authentication.,API Security,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Key Vault with overly permissive access policy.,Access Control,Azure,0,0,0,0,0,0,0,1,0,0
